5	12
5	26
-13	19
28	42
-18	1
-26	-7
-34	-22
-7	-18
8	-13
5	4
7	-5
12	-16
31	-3
7	14
8	9
19	6
-2	8
-4	15
-31	1
-24	6
-25	-22
15	-14
60	-15
40	5
51	16
53	27
-13	-1
-13	11
-1	-5
-16	-5
24	-19
32	0
31	26
16	25
-9	23
-10	52
-33	29
-41	24
-47	3
-55	-20
-41	-3
-9	-16
-3	-57
24	-34
-14	-52
40	-42
-24	-10
16	-10
14	11
-40	-43
15	23
27	-12
-12	-16
12	6
27	42
13	31
-27	-8
-70	-44
-21	15
-21	-8
-29	-35
39	18
38	30
0	17
-6	-25
29	-11
17	43
22	19
-12	13
-5	-12
-57	-9
-7	-15
11	-2
-2	-25
-1	-36
21	-26
6	3
5	2
